Time (s)	MSDx (um^2)	MSDy (um^2)
0.1	0.0271417126507976	0.0271685139088328
0.2	0.0517479397816407	0.0543074010152237
0.3	0.0745350566834557	0.0814128555753922
0.4	0.095848995866442	0.108546838527934
0.5	0.115896668793804	0.135683593921215
0.6	0.134845729204056	0.16282784834047
0.7	0.152806034504787	0.189985959856438
0.8	0.169860801021092	0.217150307748135
0.9	0.186116083475316	0.24432085938534
1	0.201603227034372	0.271492584152156
1.1	0.216382154113965	0.298670461262981
1.2	0.230467565666004	0.32582292064977
1.3	0.2439010247147	0.352983565183127
1.4	0.256692436011566	0.380149805505863
1.5	0.268900350585945	0.40730482336979
1.6	0.280536424895677	0.434472902292893
1.7	0.291644077503573	0.461649802276472
1.8	0.302257973562542	0.488826046566912
1.9	0.31239475481196	0.516001540951979
2	0.322076712513239	0.543143725406418
2.1	0.331353973030664	0.570315335910191
2.2	0.340206035366358	0.59748884758346
2.3	0.348669117547606	0.624611613654965
2.4	0.356777177507063	0.651756107493176
2.5	0.364528124156484	0.678922197853537
2.6	0.37192535747447	0.706084759357474
2.7	0.378997775791939	0.733237510808223
2.8	0.385775368307514	0.760385213610376
2.9	0.392245098699003	0.787546696973143
3	0.398420209437189	0.814696063226485
3.2	0.410002263546307	0.868983283455545
3.3	0.415408003516964	0.896163079844286
3.4	0.420616350491739	0.923374451972584
3.5	0.425603990786511	0.950606732853327
3.7	0.43493181289016	1.00513449365302
3.8	0.439303445687022	1.0324448956011
4	0.447477392109333	1.0870492684532
4.1	0.451324322559398	1.11432798204606
4.3	0.458511789037318	1.16881525825438
4.5	0.465063731907065	1.22329481936723
4.6	0.468130763189488	1.2505319795269
4.8	0.47391100322006	1.30499069097903
5	0.479240322020194	1.35940172597219
5.2	0.484155933069399	1.41381715917974
5.4	0.488758371802777	1.46827278857933
5.6	0.493040818818634	1.52271424533306
5.8	0.497007317430885	1.57711782299931
6.1	0.502418113192012	1.65861394678271
6.3	0.505711636361706	1.71294955136141
6.6	0.510222684906802	1.79442466220099
6.8	0.512982460412485	1.84872076641882
7.1	0.516787579461025	1.93017536522492
7.4	0.520281644347102	2.01157911978007
7.6	0.522439811731478	2.06590073616069
7.9	0.525459026707526	2.1473255597445
8.3	0.529049603787327	2.25573404334219
8.6	0.531574398124672	2.3370338616611
8.9	0.534001759806285	2.41823299231821
9.3	0.536941335511514	2.52643627341247
9.6	0.538952356120275	2.60745147656587
10	0.541471349860738	2.71527109583958
10.4	0.543834637560118	2.82313425663326
10.8	0.546069027547558	2.93089857554627
11.2	0.548271905910214	3.03860026506652
11.7	0.550814998461997	3.17333468043701
12.1	0.552709314825236	3.28115442990589
12.6	0.554896670522532	3.41575813913453
13.1	0.556947339900986	3.55004159525051
13.6	0.559159523847994	3.68436289260792
14.1	0.561632336559355	3.81892542142548
14.7	0.56450225213051	3.98052148057532
15.3	0.567487969200109	4.14198275404038
15.8	0.569874729208364	4.27642864140272
16.5	0.57296210220142	4.46483613640588
17.1	0.575472307701809	4.62644480689717
17.8	0.578078141800538	4.81477190936319
18.5	0.580722385460466	5.00281711757739
19.2	0.583614960740974	5.1909116000776
20	0.586926861928202	5.40613544382837
20.7	0.589944035028134	5.59483448397179
