Time (s)	MSDx (um^2)	MSDy (um^2)
0.1	0.0271359112891591	0.0271659374263606
0.2	0.0517370409337739	0.0543124772722618
0.3	0.0744791793292268	0.0814500040704674
0.4	0.0957402358412129	0.108588788022997
0.5	0.115768823487071	0.135737096117394
0.6	0.134687126555771	0.162897845980374
0.7	0.152639359363885	0.190071863244812
0.8	0.169698521250412	0.217241381543839
0.9	0.185947688236007	0.244399783880004
1	0.20142347124809	0.271553478733636
1.1	0.216183091009008	0.298696731949545
1.2	0.230247030533954	0.325828464008058
1.3	0.243681495313644	0.352959733576333
1.4	0.256511888594316	0.380068655517335
1.5	0.268758053787838	0.407173562411244
1.6	0.280445309988264	0.434260781976171
1.7	0.291582107614184	0.461336161094923
1.8	0.302192476418062	0.488391991877366
1.9	0.312323493005864	0.515441103281734
2	0.322004334210081	0.542493587958467
2.1	0.33123694253986	0.569564018420026
2.2	0.340045218182321	0.596645075988625
2.3	0.348450614394904	0.623704581299445
2.4	0.356483302039472	0.650761905841382
2.5	0.364138275578516	0.67784969967406
2.6	0.371459200836781	0.704923671258926
2.7	0.378438641873895	0.731989050826452
2.8	0.385116983141505	0.759051921927068
2.9	0.391486344972996	0.786093627703738
3	0.397579809100285	0.813165951141875
3.2	0.408946238977919	0.867289548201729
3.3	0.414270316900369	0.894324833393107
3.4	0.419356661233536	0.921372077730401
3.5	0.424235079930478	0.948412017628046
3.7	0.433321802727057	1.00252670817007
3.8	0.437591845382006	1.02957791791625
4	0.445589201351541	1.08363767586697
4.1	0.449299113398121	1.11068270236588
4.3	0.456278185766164	1.16475512915632
4.5	0.462776425892476	1.21887419865645
4.6	0.465825452501558	1.24594252504201
4.8	0.471480938943463	1.30013092081622
5	0.476629010551375	1.35428522864993
5.2	0.481331466383442	1.40844147239151
5.4	0.485629975260076	1.46253021768879
5.6	0.489552106465468	1.51661961197048
5.8	0.493165694290679	1.57073755567713
6.1	0.498120046499366	1.65190057451995
6.3	0.501107892445069	1.70598279874145
6.6	0.505275437656396	1.78715985306321
6.8	0.507848332137909	1.8412545048672
7.1	0.511290585671451	1.92225997688668
7.4	0.514209164004322	2.00326370004855
7.6	0.51601189229185	2.05730050154959
7.9	0.518447449337457	2.13833322941389
8.3	0.521263235286462	2.2462391314111
8.6	0.523190135927157	2.32729382873307
8.9	0.525050198732945	2.40845625184879
9.3	0.527304357307843	2.51661945342933
9.6	0.528983010202388	2.59778363369601
10	0.531087003915299	2.70596766440757
10.4	0.532893158898771	2.81427147856253
10.8	0.534606545716195	2.92254648921317
11.2	0.53648529380263	3.03073227113735
11.7	0.538768177371643	3.16588069790974
12.1	0.540401887214095	3.27410059437367
12.6	0.542096223393233	3.40939594293341
13.1	0.543485688776478	3.54451628532447
13.6	0.544736200963639	3.67966031125406
14.1	0.546127153902113	3.81451213568241
14.7	0.54783573551665	3.97594756888943
15.3	0.549534129024977	4.13710732078175
15.8	0.550969723694534	4.27164187611073
16.5	0.552939545240206	4.46003706559222
17.1	0.55469200785082	4.62147240481516
17.8	0.556840365880072	4.80938323153556
18.5	0.558699591375508	4.99699980705682
19.2	0.560682908990829	5.18417203387579
20	0.562809430307402	5.39825590990613
20.7	0.564344720160524	5.586299743419
21.5	0.565973773435421	5.80128973859836
22.4	0.568268619812254	6.0429900156363
23.3	0.570738445259286	6.28412737976697
24.2	0.573142746112496	6.5255583137308
25.1	0.575470899754786	6.76735524427192
26.1	0.578416065519267	7.03603912194686
27.1	0.581789035586572	7.30488985248711
28.2	0.584915220756754	7.60195055993069
29.3	0.58777029090657	7.89969806203467
30.4	0.590619631185112	8.19766405855435
31.6	0.594005302171957	8.52132824153493
32.9	0.597013923144153	8.87179221744301
34.1	0.600324650340989	9.19484119119213
35.5	0.604280372577792	9.57006513526863
36.9	0.607686206883798	9.94466348966891
38.3	0.610777912821371	10.3189915735572
39.8	0.613943890494557	10.7200822831765
41.4	0.617820342701296	11.1481320726675
43	0.622543780985165	11.5768096019327
44.7	0.627686699235258	12.0314805338542
46.4	0.632421880353585	12.485266373789
48.2	0.637481097306201	12.9629006315653
50.1	0.643496116749623	13.4688020033595
52.1	0.648702812650457	14.0021327372632
54.1	0.653727633328278	14.5346004488976
56.2	0.659537934944356	15.0938220596994
58.4	0.665209980801985	15.6805062950044
60.7	0.670898819761036	16.2931260832447
63.1	0.677303565713867	16.9295977584243
65.6	0.684594637139455	17.5927341899077
68.1	0.69032135949322	18.2535471927055
70.8	0.6971281487152	18.96841532698
73.6	0.703958389002879	19.7113658193729
76.4	0.711803043594412	20.4542061538972
79.4	0.719883717151562	21.2498747546997
